File: output/derived/sce/sce_credit.csv

MD5 hash: ef29c3752755be80bb5e8e5b7b650d53

Keys: sce_id date 

                                                         type   count  unique            mean            std             min             50%             max
sce_id                                                  int64  35,306     nan  71,072,331.011  1,975,987.555  70,000,337.000  70,095,211.000  75,020,418.000
date                                                period[M]  35,306  32.000             nan            nan             nan             nan             nan
weight                                                float64  35,304     nan           0.992          0.820           0.231           0.727           9.767
has_credit_card                                         int64  35,306     nan           0.748          0.434           0.000           1.000           1.000
has_mortgage                                            int64  35,306     nan           0.499          0.500           0.000           0.000           1.000
has_student_loan                                        int64  35,306     nan           0.230          0.421           0.000           0.000           1.000
has_home_loan                                           int64  35,306     nan           0.088          0.283           0.000           0.000           1.000
has_auto_loan                                           int64  35,306     nan           0.400          0.490           0.000           0.000           1.000
has_other_loan                                          int64  35,306     nan           0.147          0.354           0.000           0.000           1.000
has_no_loan                                             int64  35,306     nan           0.090          0.286           0.000           0.000           1.000
balance_credit_card                                   float64  25,514     nan       8,417.598     58,450.856        -550.000       2,500.000   8,000,000.000
balance_mortgage                                      float64  16,999     nan     179,840.152    208,281.146           0.000     139,000.000  13,700,000.000
balance_student_loan                                  float64   7,862     nan      45,032.395    181,845.615           0.000      25,000.000  15,000,000.000
balance_home_loan                                     float64   2,990     nan      47,609.262    134,826.435           0.000      20,000.000   6,000,000.000
balance_auto_loan                                     float64  13,623     nan      18,645.332     44,867.600           0.000      14,785.000   3,200,000.000
balance_other_loan                                    float64   5,012     nan      21,495.599    222,889.713           0.000       5,000.000   9,999,999.000
balance_credit_card_cat                               float64      34     nan           7.088          4.770           1.000           9.000          15.000
balance_mortgage_cat                                  float64      19     nan          15.263          2.663          10.000          15.000          21.000
balance_student_loan_cat                              float64       4     nan           9.500          5.000           3.000          10.000          15.000
balance_home_loan_cat                                 float64       3     nan           9.667          8.083           1.000          11.000          17.000
balance_auto_loan_cat                                 float64      11     nan          10.091          3.360           4.000          11.000          14.000
balance_other_loan_cat                                float64       4     nan           8.250          4.924           1.000          10.000          12.000
has_maxed_credit_card                                 float64  26,413     nan           0.175          0.380           0.000           0.000           1.000
has_applied_credit_card                               float64  35,282     nan           0.267          0.442           0.000           0.000           1.000
has_applied_mortgage                                  float64  35,237     nan           0.078          0.269           0.000           0.000           1.000
has_applied_auto_loan                                 float64  35,246     nan           0.142          0.349           0.000           0.000           1.000
has_requested_increase_credit_limit                   float64  26,380     nan           0.122          0.327           0.000           0.000           1.000
has_requested_increase_loan_limit                     float64   7,699     nan           0.071          0.257           0.000           0.000           1.000
has_requested_refi                                    float64  17,616     nan           0.121          0.326           0.000           0.000           1.000
has_applied_student_loan                              float64  35,237     nan           0.035          0.182           0.000           0.000           1.000
reason_no_apply_loan_satisfied                        float64  18,629     nan           0.859          0.348           0.000           1.000           1.000
reason_no_apply_loan_time                             float64  18,629     nan           0.042          0.201           0.000           0.000           1.000
reason_no_apply_loan_rates                            float64  18,629     nan           0.073          0.260           0.000           0.000           1.000
reason_no_apply_loan_knowledge                        float64  18,629     nan           0.017          0.128           0.000           0.000           1.000
reason_no_apply_loan_approval                         float64  17,971     nan           0.112          0.315           0.000           0.000           1.000
reason_no_apply_other_approval                        float64   1,924     nan           0.349          0.477           0.000           0.000           1.000
amount_requested_credit_card                          float64   4,692     nan       6,303.764     19,657.297           0.000       3,000.000   1,205,946.000
amount_requested_credit_card_no_response              float64   9,437     nan           0.501          0.500           0.000           1.000           1.000
amount_requested_mortgage                             float64   2,645     nan     208,942.362    233,615.889           0.000     159,000.000   4,750,000.000
amount_requested_mortgage_no_response                 float64     891     nan           0.129          0.336           0.000           0.000           1.000
amount_requested_auto_loan                            float64   4,768     nan      24,556.657     60,945.748           0.000      20,000.000   3,000,000.000
amount_requested_auto_loan_no_response                float64   1,484     nan           0.164          0.371           0.000           0.000           1.000
amount_requested_increase_credit_limit                float64   2,174     nan       4,648.364     25,411.067           0.000       2,000.000   1,123,000.000
amount_requested_increase_credit_limit_no_response    float64   3,219     nan           0.323          0.468           0.000           0.000           1.000
amount_requested_increase_loan_limit                  float64     430     nan      12,843.974     38,915.495           0.000       2,000.000     500,000.000
amount_requested_increase_loan_limit_no_response      float64     477     nan           0.249          0.433           0.000           0.000           1.000
amount_requested_refi                                 float64     606     nan     231,971.397    161,669.823           0.000     198,000.000   1,200,000.000
amount_requested_refi_no_response                     float64     757     nan           0.200          0.400           0.000           0.000           1.000
amount_requested_increase_student_loan                float64   1,111     nan      13,971.739     17,850.804           0.000       9,670.000     200,000.000
amount_requested_increase_student_loan_no_response    float64     314     nan           0.341          0.475           0.000           0.000           1.000
request_granted_credit_card                           float64   9,417     nan           1.348          0.724           1.000           1.000           3.000
request_granted_mortgage                              float64   2,758     nan           1.272          0.649           1.000           1.000           3.000
request_granted_auto_loan                             float64   5,008     nan           1.117          0.451           1.000           1.000           3.000
request_granted_increase_credit_limit                 float64   3,211     nan           1.663          0.886           1.000           1.000           3.000
request_granted_increase_loan_limit                   float64     549     nan           1.681          0.893           1.000           1.000           3.000
request_granted_student_loan                          float64   1,215     nan           1.243          0.572           1.000           1.000           3.000
amount_granted_credit_card                            float64     197     nan       3,221.893      4,059.257           0.000       1,500.000      27,000.000
amount_granted_mortgage                               float64      90     nan     121,966.289    137,187.696           0.000      81,000.000     800,000.000
amount_granted_auto_loan                              float64      60     nan      13,605.633      8,475.697          10.000      14,000.000      40,000.000
amount_granted_increase_credit_limit                  float64     131     nan       2,739.504      4,537.583          50.000       1,000.000      30,000.000
amount_granted_increase_loan_limit                    float64      22     nan       4,543.046     16,902.654          50.000         500.000      80,000.000
amount_granted_student_loan                           float64      86     nan       8,717.116     12,260.823           0.000       5,000.000      75,000.000
reason_requested_refi_credit                          float64      34     nan           0.147          0.359           0.000           0.000           1.000
reason_requested_refi_income                          float64      34     nan           0.294          0.463           0.000           0.000           1.000
reason_requested_refi_documentation                   float64      34     nan           0.088          0.288           0.000           0.000           1.000
reason_requested_refi_other                           float64      34     nan           0.559          0.504           0.000           1.000           1.000
refi_lowered_interest_rate                            float64     143     nan           0.930          0.256           0.000           1.000           1.000
refi_increased_mortgage_balance                       float64     143     nan           0.161          0.369           0.000           0.000           1.000
refi_increased_mortgage_term                          float64     143     nan           0.112          0.316           0.000           0.000           1.000
refi_decreased_mortgage_term                          float64     143     nan           0.266          0.443           0.000           0.000           1.000
refi_switched_adjustable_to_fixed                     float64     143     nan           0.035          0.184           0.000           0.000           1.000
refi_switched_fixed_to_adjustable                     float64     143     nan           0.021          0.144           0.000           0.000           1.000
refi_switched_mortgage_servicer                       float64     143     nan           0.350          0.478           0.000           0.000           1.000
refi_caused_other_outcome                             float64     143     nan           0.091          0.288           0.000           0.000           1.000
account_closed_voluntary                                int64  35,306     nan           0.149          0.356           0.000           0.000           1.000
account_closed_lender                                   int64  35,306     nan           0.045          0.208           0.000           0.000           1.000
no_credit_reductions                                    int64  35,306     nan           0.555          0.497           0.000           1.000           1.000
credit_limit_lowered                                  float64  33,927     nan           0.281          0.450           0.000           0.000           1.000
has_late_loan_payments_30_days                        float64  32,116     nan           0.064          0.245           0.000           0.000           1.000
has_late_loan_payments_90_days                        float64   1,967     nan           0.449          0.498           0.000           0.000           1.000
randomize_likelihood_question                         float64  22,533     nan           1.505          0.500           1.000           2.000           2.000
want_but_no_apply_credit_card                         float64   2,321     nan           0.390          0.488           0.000           0.000           1.000
want_but_no_apply_mortgage                            float64   2,793     nan           0.270          0.444           0.000           0.000           1.000
want_but_no_apply_auto_loan                           float64   2,405     nan           0.248          0.432           0.000           0.000           1.000
want_but_no_apply_increase_credit_limit               float64   1,554     nan           0.287          0.453           0.000           0.000           1.000
want_but_no_apply_increase_loan_limit                 float64     974     nan           0.192          0.394           0.000           0.000           1.000
want_but_no_apply_refi                                float64     764     nan           0.296          0.457           0.000           0.000           1.000
want_but_no_apply_student_loan                        float64   2,802     nan           0.050          0.219           0.000           0.000           1.000
want_but_no_apply_none                                float64   3,215     nan           0.374          0.484           0.000           0.000           1.000
likelihood_request_granted_credit_card                float64  15,478     nan          77.888         32.780           0.000          99.000         100.000
likelihood_request_granted_mortgage                   float64  10,392     nan          68.202         35.883           0.000          80.000         100.000
likelihood_request_granted_auto_loan                  float64  14,500     nan          79.549         31.552           0.000          99.000         100.000
