sce_id,date,residence_status_own,weight,risk_aversion,credit_score,value_home_current,value_home_1y_ahead,value_home_5y_ahead,likelihood_sell_home_1y_ahead,mortgage_rate_type,likelihood_refi_1y_ahead,reason_apply_refi_rates,reason_apply_refi_other,mortgage_rate_avg_1y_ahead,mortgage_rate_avg_3y_ahead,mortgage_access_harder_easier_1y_ago,mortgage_access_harder_easier_1y_ahead,mortgage_access_harder_easier_3y_ahead,likelihood_move_1y_ahead,likelihood_move_3y_ahead,value_home_at_purchase,debt_housing,debt_housing_monthly_payment,mortgage_rate_on_own_home,likelihood_apply_home_loan_1y_ahead,mortgage_rate_self_current,mortgage_rate_avg_current
70000337,2014-02,no,3.984,2.0,580,,,,,,,,,12.0,15.0,2.0,2.0,2.0,50.0,50.0,,,,,,,10.0
70009498,2014-02,no,1.2,6.0,670,,,,,,,,,10.0,15.0,4.0,3.0,3.0,75.0,75.0,,,,,,,10.0
70010315,2014-02,no,2.334,5.0,800,,,,,,,,,4.5,5.5,3.0,3.0,4.0,40.0,40.0,,,,,,4.25,4.25
70010913,2014-02,no,0.781,1.0,,,,,,,,,,6.0,7.0,3.0,3.0,3.0,66.0,70.0,,,,,,,6.0
70011246,2014-02,no,1.484,1.0,580,,,,,,,,,0.0,0.0,2.0,2.0,1.0,,0.0,,,,,,,2.0
70012810,2014-02,no,0.627,3.0,,,,,,,,,,8.0,10.0,4.0,3.0,4.0,20.0,75.0,,,,,,5.0,8.0
70012866,2014-02,no,0.603,3.0,800,,,,,,,,,5.0,6.5,3.0,4.0,4.0,70.0,90.0,,,,,,4.0,4.5
70012979,2014-02,no,1.132,2.0,,,,,,,,,,4.0,6.0,4.0,4.0,4.0,5.0,50.0,,,,,,,5.0
70013004,2014-02,no,1.465,7.0,740,,,,,,,,,2.5,4.0,3.0,3.0,2.0,90.0,90.0,,,,,,5.0,3.0
70013641,2014-02,yes,0.791,4.0,800,299999.0,299999.0,310000.0,1.0,,,,,2.4000001,2.9000001,3.0,3.0,3.0,0.0,40.0,299999.0,,,,0.0,2.9000001,3.0
70015412,2014-02,yes,0.639,6.0,740,515000.0,520000.0,550000.0,20.0,fixed,20.0,,yes,4.5,5.3000002,4.0,4.0,4.0,10.0,50.0,499000.0,432000.0,2800.0,3.5,10.0,3.5,4.0
70015891,2014-02,no,1.076,3.0,,,,,,,,,,29.0,31.0,3.0,3.0,2.0,0.0,100.0,,,,,,,29.0
70015976,2014-02,no,0.811,3.0,740,,,,,,,,,11.0,15.0,4.0,4.0,3.0,65.0,95.0,,,,,,6.0,9.0
70016052,2014-02,no,0.811,7.0,580,,,,,,,,,5.0,3.0,3.0,3.0,4.0,10.0,10.0,,,,,,18.0,4.0
70016154,2014-02,no,0.996,10.0,580,,,,,,,,,8.0,7.0,4.0,3.0,3.0,80.0,80.0,,,,,,,7.0
70016291,2014-02,no,0.518,1.0,580,,,,,,,,,5.0,6.0,4.0,4.0,4.0,100.0,100.0,,,,,,10.0,5.0
70016317,2014-02,no,0.888,3.0,,,,,,,,,,,,3.0,3.0,3.0,,0.0,,,,,,,
70016375,2014-02,no,0.717,5.0,800,,,,,,,,,5.1999998,5.5,3.0,4.0,4.0,100.0,100.0,,,,,,4.5,4.6999998
70016445,2014-02,no,0.551,3.0,625,,,,,,,,,4.75,6.25,2.0,2.0,2.0,80.0,80.0,,,,,,,4.75
70016542,2014-02,no,0.996,4.0,670,,,,,,,,,5.0,7.0,3.0,3.0,2.0,,0.0,,,,,,5.0,4.25
70016606,2014-02,no,0.59,7.0,800,,,,,,,,,5.0,6.0,2.0,1.0,2.0,90.0,90.0,,,,,,4.3699999,4.3699999
70016678,2014-02,no,0.554,6.0,580,,,,,,,,,4.25,5.25,4.0,4.0,4.0,30.0,90.0,,,,,,10.0,4.0
70016740,2014-02,no,4.78,3.0,580,,,,,,,,,5.0,5.0,2.0,2.0,2.0,100.0,100.0,,,,,,,5.0
70016780,2014-02,no,1.581,5.0,625,,,,,,,,,5.5,7.0,2.0,2.0,2.0,50.0,75.0,,,,,,7.0,4.9000001
70017409,2014-02,yes,0.412,8.0,800,275000.0,300000.0,375000.0,0.0,,,,,4.5,5.5,3.0,2.0,2.0,,0.0,195000.0,,,,80.0,4.0,4.0
70017414,2014-02,no,0.561,4.0,670,,,,,,,,,4.0,3.0,2.0,3.0,4.0,100.0,100.0,,,,,,5.0,4.0
70018310,2014-02,no,0.344,6.0,800,,,,,,,,,3.5,2.8,3.0,3.0,3.0,100.0,100.0,,,,,,3.5,3.5
